"","Race","variable","value"
"1","White","Total",200235
"2","Black","Total",32045
"3","Asian","Total",14667
"4","Hispanic","Total",40379
"5","White","Total.with.Income",177620
"6","Black","Total.with.Income",26451
"7","Asian","Total.with.Income",12163
"8","Hispanic","Total.with.Income",31727
"9","White","X.1.to..2.499.or.loss",11639
"10","Black","X.1.to..2.499.or.loss",1462
"11","Asian","X.1.to..2.499.or.loss",1005
"12","Hispanic","X.1.to..2.499.or.loss",1989
"13","White","X.2.500.to..4.999",4952
"14","Black","X.2.500.to..4.999",1017
"15","Asian","X.2.500.to..4.999",345
"16","Hispanic","X.2.500.to..4.999",1243
"17","White","X.5.000.to..7.499",6190
"18","Black","X.5.000.to..7.499",1255
"19","Asian","X.5.000.to..7.499",519
"20","Hispanic","X.5.000.to..7.499",1591
"21","White","X.7.500.to..9.999",8028
"22","Black","X.7.500.to..9.999",1890
"23","Asian","X.7.500.to..9.999",501
"24","Hispanic","X.7.500.to..9.999",1899
"25","White","X.10.000.to..12.499",9933
"26","Black","X.10.000.to..12.499",2048
"27","Asian","X.10.000.to..12.499",652
"28","Hispanic","X.10.000.to..12.499",2351
"29","White","X.12.500.to..14.999",6957
"30","Black","X.12.500.to..14.999",1259
"31","Asian","X.12.500.to..14.999",386
"32","Hispanic","X.12.500.to..14.999",1399
"33","White","X.15.000.to..17.499",8349
"34","Black","X.15.000.to..17.499",1520
"35","Asian","X.15.000.to..17.499",472
"36","Hispanic","X.15.000.to..17.499",2048
"37","White","X.17.500.to..19.999",6451
"38","Black","X.17.500.to..19.999",1064
"39","Asian","X.17.500.to..19.999",350
"40","Hispanic","X.17.500.to..19.999",1355
"41","White","X.20.000.to..22.499",8899
"42","Black","X.20.000.to..22.499",1491
"43","Asian","X.20.000.to..22.499",513
"44","Hispanic","X.20.000.to..22.499",2471
"45","White","X.22.500.to..24.999",5446
"46","Black","X.22.500.to..24.999",939
"47","Asian","X.22.500.to..24.999",259
"48","Hispanic","X.22.500.to..24.999",1043
"49","White","X.25.000.to..27.499",7216
"50","Black","X.25.000.to..27.499",1238
"51","Asian","X.25.000.to..27.499",421
"52","Hispanic","X.25.000.to..27.499",1651
"53","White","X.27.500.to..29.999",4503
"54","Black","X.27.500.to..29.999",738
"55","Asian","X.27.500.to..29.999",229
"56","Hispanic","X.27.500.to..29.999",792
"57","White","X.30.000.to..32.499",7795
"58","Black","X.30.000.to..32.499",1309
"59","Asian","X.30.000.to..32.499",516
"60","Hispanic","X.30.000.to..32.499",1754
"61","White","X.32.500.to..34.999",3514
"62","Black","X.32.500.to..34.999",448
"63","Asian","X.32.500.to..34.999",167
"64","Hispanic","X.32.500.to..34.999",577
"65","White","X.35.000.to..37.499",6239
"66","Black","X.35.000.to..37.499",935
"67","Asian","X.35.000.to..37.499",408
"68","Hispanic","X.35.000.to..37.499",1151
"69","White","X.37.500.to..39.999",3187
"70","Black","X.37.500.to..39.999",501
"71","Asian","X.37.500.to..39.999",167
"72","Hispanic","X.37.500.to..39.999",444
"73","White","X.40.000.to..42.499",6352
"74","Black","X.40.000.to..42.499",958
"75","Asian","X.40.000.to..42.499",473
"76","Hispanic","X.40.000.to..42.499",1187
"77","White","X.42.500.to..44.999",2532
"78","Black","X.42.500.to..44.999",325
"79","Asian","X.42.500.to..44.999",119
"80","Hispanic","X.42.500.to..44.999",321
"81","White","X.45.000.to..47.499",4374
"82","Black","X.45.000.to..47.499",615
"83","Asian","X.45.000.to..47.499",229
"84","Hispanic","X.45.000.to..47.499",675
"85","White","X.47.500.to..49.999",2509
"86","Black","X.47.500.to..49.999",384
"87","Asian","X.47.500.to..49.999",138
"88","Hispanic","X.47.500.to..49.999",351
"89","White","X.50.000.to..52.499",5206
"90","Black","X.50.000.to..52.499",758
"91","Asian","X.50.000.to..52.499",378
"92","Hispanic","X.50.000.to..52.499",825
"93","White","X.52.500.to..54.999",2142
"94","Black","X.52.500.to..54.999",201
"95","Asian","X.52.500.to..54.999",82
"96","Hispanic","X.52.500.to..54.999",237
"97","White","X.55.000.to..57.499",3221
"98","Black","X.55.000.to..57.499",422
"99","Asian","X.55.000.to..57.499",231
"100","Hispanic","X.55.000.to..57.499",440
"101","White","X.57.500.to..59.999",1630
"102","Black","X.57.500.to..59.999",183
"103","Asian","X.57.500.to..59.999",99
"104","Hispanic","X.57.500.to..59.999",143
"105","White","X.60.000.to..62.499",3948
"106","Black","X.60.000.to..62.499",436
"107","Asian","X.60.000.to..62.499",280
"108","Hispanic","X.60.000.to..62.499",572
"109","White","X.62.500.to..64.999",1475
"110","Black","X.62.500.to..64.999",127
"111","Asian","X.62.500.to..64.999",62
"112","Hispanic","X.62.500.to..64.999",164
"113","White","X.65.000.to..67.499",2488
"114","Black","X.65.000.to..67.499",264
"115","Asian","X.65.000.to..67.499",199
"116","Hispanic","X.65.000.to..67.499",314
"117","White","X.67.500.to..69.999",1230
"118","Black","X.67.500.to..69.999",103
"119","Asian","X.67.500.to..69.999",59
"120","Hispanic","X.67.500.to..69.999",91
"121","White","X.70.000.to..72.499",2652
"122","Black","X.70.000.to..72.499",258
"123","Asian","X.70.000.to..72.499",225
"124","Hispanic","X.70.000.to..72.499",294
"125","White","X.72.500.to..74.999",1098
"126","Black","X.72.500.to..74.999",103
"127","Asian","X.72.500.to..74.999",70
"128","Hispanic","X.72.500.to..74.999",85
"129","White","X.75.000.to..77.499",2304
"130","Black","X.75.000.to..77.499",209
"131","Asian","X.75.000.to..77.499",200
"132","Hispanic","X.75.000.to..77.499",224
"133","White","X.77.500.to..79.999",887
"134","Black","X.77.500.to..79.999",73
"135","Asian","X.77.500.to..79.999",58
"136","Hispanic","X.77.500.to..79.999",97
"137","White","X.80.000.to..82.499",2060
"138","Black","X.80.000.to..82.499",236
"139","Asian","X.80.000.to..82.499",216
"140","Hispanic","X.80.000.to..82.499",270
"141","White","X.82.500.to..84.999",835
"142","Black","X.82.500.to..84.999",106
"143","Asian","X.82.500.to..84.999",38
"144","Hispanic","X.82.500.to..84.999",100
"145","White","X.85.000.to..87.499",1244
"146","Black","X.85.000.to..87.499",145
"147","Asian","X.85.000.to..87.499",116
"148","Hispanic","X.85.000.to..87.499",116
"149","White","X.87.500.to..89.999",678
"150","Black","X.87.500.to..89.999",57
"151","Asian","X.87.500.to..89.999",37
"152","Hispanic","X.87.500.to..89.999",50
"153","White","X.90.000.to..92.499",1415
"154","Black","X.90.000.to..92.499",133
"155","Asian","X.90.000.to..92.499",153
"156","Hispanic","X.90.000.to..92.499",142
"157","White","X.92.500.to..94.999",566
"158","Black","X.92.500.to..94.999",55
"159","Asian","X.92.500.to..94.999",47
"160","Hispanic","X.92.500.to..94.999",40
"161","White","X.95.000.to..97.499",816
"162","Black","X.95.000.to..97.499",79
"163","Asian","X.95.000.to..97.499",66
"164","Hispanic","X.95.000.to..97.499",69
"165","White","X.97.500.to..99.999",600
"166","Black","X.97.500.to..99.999",56
"167","Asian","X.97.500.to..99.999",58
"168","Hispanic","X.97.500.to..99.999",41
"169","White","X.100.000.and.over",16057
"170","Black","X.100.000.and.over",1055
"171","Asian","X.100.000.and.over",1618
"172","Hispanic","X.100.000.and.over",1125
"173","White","Median.income",30079
"174","Black","Median.income",23088
"175","Asian","Median.income",32084
"176","Hispanic","Median.income",22012
"177","White","Mean.income",44165
"178","Black","Mean.income",32832
"179","Asian","Mean.income",49886
"180","Hispanic","Mean.income",31025
"181","White","Gini.ratio",0.518
"182","Black","Gini.ratio",0.49
"183","Asian","Gini.ratio",0.539
"184","Hispanic","Gini.ratio",0.484
